lemma,variant,reason
أَنَّ,ان,same lemma
إِلَى,الى,same lemma
الَّذِي,الذي,same lemma
هٰذا,هذه,same lemma
أَنَّ,إن,same lemma
رَئِيس,رئيس,same lemma
عام,العام,same lemma
فِي,وفي,same lemma
كان,كانت,same lemma
لا,ولا,same lemma
قَدْ,وقد,same lemma
مِن,ومن,same lemma
أَنَّ,أنه,same lemma
هُوَ,وهو,same lemma
فِي,فى,same lemma
فِي,فيها,same lemma
الَّذِي,الذين,same lemma
كان,وكان,same lemma
أَنَّ,انه,same lemma
عَلَى,عليه,same lemma
ذٰلِكَ,تلك,same lemma
فِي,فيه,same lemma
لِ,لها,same lemma
يَوْم,يوم,same lemma
أَنَّ,بأن,same lemma
كان,يكون,same lemma
وَزِير,الوزراء,same lemma
لٰكِنَّ,ولكن,same lemma
أَو,او,same lemma
هِيَ,وهي,same lemma
بِ,به,same lemma
دَوْلَة,الدولة,same lemma
عَلَى,عليها,same lemma
لَم,ولم,same lemma
ما,فيما,same lemma
قَدْ,فقد,same lemma
كان,تكون,same lemma
أَنَّ,فإن,same lemma
مِن,منها,same lemma
رُوسِيّ,الروسية,same lemma
الَّذِي,والتي,same lemma
كان,وكانت,same lemma
عَلَى,علي,same lemma
مِنْطَقَة,منطقة,same lemma
أَنَّ,الآن,same lemma
عَرَبِيّ,العربي,same lemma
عِراقِيّ,العراقي,same lemma
دَوْلِيّ,الدولي,same lemma
ما,بما,same lemma
مِن,مما,same lemma
ذٰلِكَ,وذلك,same lemma
دَوْلَة,دول,same lemma
دَوْلَة,دولة,same lemma
أَنَّ,أنها,same lemma
إِسْرائِيل,اسرائيل,same lemma
قال,وقالت,same lemma
عَلَى,وعلى,same lemma
حِزْب,الحزب,same lemma
أَنَّ,وأن,same lemma
هٰذا,وهذا,same lemma
وَقْت,وقت,same lemma
سِياسِيّ,السياسي,same lemma
أَضاف,واضاف,same lemma
قُوَّة,قوات,same lemma
عِنْد,عند,same lemma
ما,وما,same lemma
أَنَّ,لأن,same lemma
تَمّ,يتم,same lemma
أَمْرِيكِيّ,الأميركية,same lemma
أَنَّ,إنه,same lemma
أَيّ,اي,same lemma
حُكُومَة,حكومة,same lemma
فِلَسْطِينِيّ,الفلسطيني,same lemma
عام,العامة,same lemma
إِلّا,الا,same lemma
مَجْلِس,المجلس,same lemma
أَمْرِيكِيّ,الأمريكي,same lemma
أَنَّ,وان,same lemma
لِ,لهم,same lemma
كَبِير,كبيرة,same lemma
سُلْطَة,السلطات,same lemma
أَنَّ,انها,same lemma
قال,يقول,same lemma
جَدِيد,الجديد,same lemma
إِيران,ايران,same lemma
الَّذِي,والذي,same lemma
قَدْ,لقد,same lemma
عَمَل,عمل,same lemma
وَطَنِيّ,الوطني,same lemma
